Date,Description,Amount,Currency,Balance
2023-03-15,General Expenses,-50.00,AUD,9950.00
2023-03-22,Salary Deposit,5000.00,AUD,14900.00
2023-04-01,AIX Capital Transfer,-5000.00,AUD,9900.00
2023-04-08,Groceries,150.00,AUD,9750.00
2023-04-15,Utilities,200.00,AUD,9550.00
2023-04-22,Entertainment,80.00,AUD,9470.00
2023-04-29,Online Shopping,120.00,AUD,9350.00
2023-05-06,Salary Deposit,5000.00,AUD,14350.00
2023-05-13,Dining Out,75.00,AUD,14275.00
2023-05-20,Online Subscription,30.00,AUD,14245.00
2023-05-27,Travel Expenses,300.00,AUD,13945.00
2023-06-03,Salary Deposit,5000.00,AUD,18945.00
2023-06-10,Household Supplies,50.00,AUD,18895.00
2023-06-17,Movie Tickets,40.00,AUD,18855.00
2023-06-24,AIX Capital Transfer,-15000.00,AUD,3855.00
